pre_18864_00065,SSp-ul,
pre_18864_00427,MOs,
17545_00169,VPM,
18461_3871_x7813_y3857,MOp,L2/3
18457_00077,CP,
191812_5586_x4875_y23378,SSp-bfd,
18455_5253_x25617_y13881,VPM,
18864_4380_x6371_y4940,SSp-n,L4
18454_01023,VPM,
18455_00165,MD,
18457_00048,VPM,
18454_01014,VPM,
18454_00058,RE,
18869_4345_x7097_y4738,SSp-n,L5
18455_00123,PO,
18465_00242,VPL,
18465_00007,CP,
18868_3715_x8453_y8977,SSp-m,L5
18458_00264,LGd,
18864_6956_x8154_y30811,VISpor,L2/3
pre_18864_00426,MOs,
18457_00117,VPL,
17545_00078,VPM,
18454_00069,MG,
18867_4801_x7068_y12938,SSs,L5
15257_4500_x16614_y17147,MOs,
18462_00020,VPM,
18867_5486_x20836_y5690,RSPv,L5
18463_00028,VPM,
18453_5995_x24812_y3143,VISam,L2/3
pre_18864_00059,MOp,
18464_00079,MG,
18869_4001_x4383_y7249,SSs,L2/3
18455_00042,LGd,
pre_18864_00114,SSp-m,
18465_00233,VPL,
pre_18864_00069,MOp,
18465_00154,CP,
18453_3935_x22928_y21885,OT,
236174_3829_x13590_y9284,CLA,
191812_4067_x7961_y6860,SSp-m,L5
pre_18465_00267,ProS,
15257_4149_x16164_y21238,ACAd,
18455_00013,CP,
18454_00154,VPM,
18457_00013,VPM,
18869_4953_x22613_y6076,SSp-n,L5
pre_18458_00357,DG,
18457_00027,VPM,
17302_00053,VPM,
18867_4826_x11914_y16564,CP,
18457_00136,VM,
17543_5296_x5131_y20385,VISal,L5
18864_3494_x2380_y13749,MOp,L2/3
17545_00068,CP,
191807_5199_x3288_y11643,MOp,
18864_00057,ORBm,
18463_00027,VPM,
18864_5030_x9347_y31359,SSs,L2/3
182724_4327_x4847_y18972,MOp,
pre_18864_00079,SSp-bfd,
18454_01113,VPM,
18454_01097,VPM,
18464_00108,CP,
pre_18864_00111,SSp-n,
18869_4302_x23433_y9053,SSs,L5
17545_00094,LGd,
18864_00015,SSp-bfd,
18457_00061,VPM,
18454_00073,VPLpc,
18453_5841_x19468_y3419,RSPv,L2/3
182725_2917_x9391_y22263,AId,L5
17545_00177,PVT,
18867_4984_x30860_y8156,SSp-n,L5
18454_01067,VPM,
18455_00106,CP,
18455_5507_x14812_y14221,VPM,
18868_6019_x9541_y5296,VISrl,L5
18869_3239_x6605_y6691,SSp-m,L5
18464_00119,VPM,
18457_00113,CP,
17302_00077,MG,
191807_5921_x4355_y21421,SSp-bfd,L6
18454_00126,LP,
pre_18868_00443,MOp,
18868_3228_x28576_y10788,SSp-m,L5
18462_00063,VAL,
18455_00133,SMT,
18465_00152,MG,
18462_00044,VPM,
18454_00171,MG,
18455_00041,CP,
18869_4414_x15653_y4273,MOs,L5
18458_00577,VPM,
18864_4693_x10912_y2095,SSs,L4
18465_00126,VPM,
18463_00056,VPL,
18867_4392_x7633_y13301,SSs,L5
18457_00128,VPM,
18462_00024,LGd,
17545_00081,MG,
18454_00098,IAD,
182725_7341_x4593_y22594,VISli,L5
pre_18866_00139,DG,
18465_00110,LGd,
pre_18458_00367,DG,
18465_00227,VPM,
18869_4268_x10899_y9077,RT,
18465_00116,LGd,
18867_4330_x29413_y7746,SSp-m,L5
18458_00150,LP,
18464_00085,CP,
17545_00165,MG,
17109_2301_x8535_y23051,AId,L6
182724_5793_x8695_y5510,AUDv,
18457_00139,CP,
18869_5705_x4706_y6107,AUDv,L5
pre_18864_00082,SSp-m,
17302_00010,CP,
17545_00172,VPM,
18453_6537_x8725_y4484,VISal,L2/3
18454_01038,VPL,
pre_18864_00016,SSp-ul,
18868_3856_x26025_y7205,SSp-ul,L5
18465_00245,VM,
17545_00121,CP,
17109_6201_x4328_y6753,VISp,L6
17302_00009,CP,
18463_00038,VPM,
18458_00615,LD,
18867_4831_x27808_y6496,SSp-ul,L5
191812_5411_x6011_y24641,SSp-bfd,
17545_00055,VPM,
18457_00052,VPM,
18455_00018,LGd,
17109_2601_x9296_y24691,CLA,
17545_00084,VPMpc,
18453_3841_x9500_y7920,SSp-m,L4
18465_00037,CP,
18458_00241,LGd,
18457_00090,VPM,
18454_01015,VPM,
18457_00033,CP,
18465_00070,LGd,
17545_00119,CP,
18868_6196_x17668_y4955,RSPv,L5
18867_7584_x10560_y5816,VISp,L5
17545_00001,CP,
pre_18458_00348,CA1,
182724_4580_x5627_y9427,SSp-un,
17545_00093,LGd,
236174_3229_x12413_y11831,CLA,
17781_6262_x6896_y13574,SSp-bfd,L6
18867_4554_x26130_y14869,CP,
17109_6401_x7641_y3978,AUDv,L6
18462_00055,VPM,
18869_4883_x18883_y4120,SSp-ll,L5
pre_18864_00108,SSp-n,
18864_5444_x7352_y31475,SSs,L2/3
18454_00075,VAL,
17787_00049,CP,
18453_4540_x32498_y9442,SSp-n,L2/3
18457_00199,MG,
18455_00004,CP,
18465_00168,CP,
18455_00132,SMT,
17302_00043,CP,
18047_5719_x25513_y7957,SSp-un,L5
18455_00203,VPM,
18454_00138,VPM,
18464_00129,VPM,
pre_18465_00367,DG,
18454_00039,CP,
18868_5724_x8616_y5999,SSp-bfd,L5
18464_00047,VPM,
18454_01073,VPM,
191812_3801_x5383_y20989,MOp,
17545_00142,VPLpc,
18047_4141_x14168_y9063,MOs,L5
18453_5325_x32314_y8395,SSs,L4
18457_00121,MG,
17545_00058,VPM,
17109_4764_x6621_y5727,SSs,L6
pre_18464_00180,OT,
18455_00259,VPM,
236174_3529_x12805_y10541,CLA,
18458_00053,LGd,
17787_00026,CP,
